SymInit: Symbol-SearchPath: '.', symOptions: 530, UserName: 'dna11'
OS-Version: 10.0.22621 () 0x100-0x1
M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.exe:pcsx2-qtx64-avx2-dbg.exe (00007FF6874D0000), size: 387198976 (result: 0), SymType: 'PDB', PDB: 'M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.pdb', fileVersion: 1.7.0.0
C:\Windows\SYSTEM32\dxgi.dll:dxgi.dll (00007FFCD7E80000), size: 1007616 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\dxgi.dll', fileVersion: 10.0.22621.1485
C:\Windows\SYSTEM32\dcomp.dll:dcomp.dll (00007FFCD7170000), size: 2367488 (result: 0), SymType: '-nosymbols-', PDB: 'C:\Windows\SYSTEM32\dcomp.dll', fileVersion: 10.0.22621.1928
C:\Windows\SYSTEM32\dwmapi.dll:dwmapi.dll (00007FFCD7F90000), size: 176128 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\dwmapi.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\UxTheme.dll:UxTheme.dll (00007FFCD7D10000), size: 700416 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\UxTheme.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\MSVCP140D.dll:MSVCP140D.dll (00007FFC00AA0000), size: 925696 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\MSVCP140D.dll', fileVersion: 14.34.31938.0
C:\Windows\SYSTEM32\MSVCP140_1D.dll:MSVCP140_1D.dll (00007FFC3CF10000), size: 40960 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\MSVCP140_1D.dll', fileVersion: 14.34.31938.0
C:\Windows\SYSTEM32\VCRUNTIME140D.dll:VCRUNTIME140D.dll (00007FFC09550000), size: 176128 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\VCRUNTIME140D.dll', fileVersion: 14.34.31938.0
C:\Windows\SYSTEM32\ucrtbased.dll:ucrtbased.dll (00007FFBF5E00000), size: 2232320 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\ucrtbased.dll', fileVersion: 10.0.22621.755
C:\Windows\SYSTEM32\VCRUNTIME140_1D.dll:VCRUNTIME140_1D.dll (00007FFC3CE10000), size: 61440 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\VCRUNTIME140_1D.dll', fileVersion: 14.34.31938.0
C:\Windows\SYSTEM32\DWrite.dll:DWrite.dll (00007FFCD6570000), size: 2519040 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\DWrite.dll', fileVersion: 10.0.22621.1635
