# DLSS-NR (CG2R / HNet, build 310.8.0.0) — network specification
#
# Derived from the weight container; widths cross-checked against PTX
# kernel template parameters. Head dim 32, Swin window 8x8 (64 tokens),
# attention bias = heads * 64 * 64 = 128*C. Grouped-query attention:
# QKV = 1.5C^2 = Q(C^2) + K(C^2/4) + V(C^2/4), i.e. 4:1 query:kv heads.

block    C      subs  elements      kind                         layout
block60  128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block61  128    1     98,592        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block62  64     1     35,024        fused Swin + transition      4C^2+64C | 128C | C^2/2 | C^2 | 2C+80
block63  64     1     30,880        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block64  64     1     30,880        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block65  64     1     30,880        fused Swin                   4C^2+64C | 128C | C^2/2 | 2C+32
block66  32     1     11,392        fused Swin + transition      4C^2+64C | 128C | C^2 | 2C+64
block67  32     1     10,336        fused Swin                   4C^2+64C | 128C | 2C+32
block68  32     1     10,336        fused Swin                   4C^2+64C | 128C | 2C+32
block69  32     1     10,336        fused Swin                   4C^2+64C | 128C | 2C+32
block70  32     2     10,905        output head + blend_scale    4C^2 | 128C | out_gain, out_conv_weight, blend

# stage summary
#   C=32    fused Swin                   x7
#   C=32    fused Swin + transition      x2
#   C=32    output head + blend_scale    x1
#   C=64    fused Swin                   x6
#   C=64    fused Swin + transition      x2
#   C=128   fused Swin                   x10
#   C=128   fused Swin + transition      x2
#   C=256   fused Swin                   x14
#   C=256   fused Swin + transition      x2
#   C=512   split-Swin-16H               x15
#   C=1024  ViT-1D bottleneck            x9
#   C=1024  dec_input_upsample           x1

# execution order (156-slot graph)
# stage                  slots       blocks         weight records
# clear                  0-0         -              0 (weightless)
# encoder_1h_32          1-5         block0-4       5
# encoder_2h_64          6-9         block5-8       4
# encoder_4h_128         10-15       block9-14      6
# encoder_8h_256         16-23       block15-22     8
# bottleneck_16h_512     24-56       block23-30     33
# vit_1d                 57-98       block31-38     40
# decoder_16h_512        99-131      block39-47     33
# decoder_8h_256         132-139     block48-55     8
# decoder_4h_128         140-145     block56-61     6
# decoder_2h_64          146-149     block62-65     4
# decoder_1h_32          150-153     block66-69     4
# output_head            154-154     block70-70     2
# final_copy             155-155     -              0 (weightless)

# accounted 73,841,889 of 73,841,889 elements -> COMPLETE
