153 tensors, 73,841,889 elements, 147,683,778 bytes of data
  block44.layer2.layer                    458,784 elem  @0x007ec5de3
  block44.layer3.layer                    131,584 elem  @0x007fa5e6f
  block45.layer0.layer                    262,144 elem  @0x007fe62bb
  block45.layer1.layer                    131,584 elem  @0x008066307
  block45.layer2.layer                    458,784 elem  @0x0080a6753
  block45.layer3.layer                    131,584 elem  @0x0081867df
  block46.layer0.layer                    262,144 elem  @0x0081c6c2b
  block46.layer1.layer                    131,584 elem  @0x008246c77
  block46.layer2.layer                    458,784 elem  @0x0082870c3
  block46.layer3.layer                    131,584 elem  @0x00836714f
  block47.layer0.layer                    262,144 elem  @0x0083a759b
  block47.layer1.layer                    131,584 elem  @0x0084275e7
  block47.layer2.layer                    458,784 elem  @0x008467a33
  block47.layer3.layer                    131,584 elem  @0x008547abf
  block48.layer0.layer                    410,392 elem  @0x008587f0b
  block49.layer0.layer                    344,616 elem  @0x008650587
  block5.layer0.layer                      30,880 elem  @0x0086f8a22
  block50.layer0.layer                    344,616 elem  @0x008707bae
  block51.layer0.layer                    344,616 elem  @0x0087b004a
  block52.layer0.layer                    344,616 elem  @0x0088584e6
  block53.layer0.layer                    344,616 elem  @0x008900982
  block54.layer0.layer                    344,616 elem  @0x0089a8e1e
  block55.layer0.layer                    344,616 elem  @0x008a512ba
  block56.layer0.layer                    115,088 elem  @0x008af9756
  block57.layer0.layer                     98,592 elem  @0x008b31ac2
  block58.layer0.layer                     98,592 elem  @0x008b61d4e
  block59.layer0.layer                     98,592 elem  @0x008b91fda
  block6.layer0.layer                      30,880 elem  @0x008bc2265
  block60.layer0.layer                     98,592 elem  @0x008bd13f1
  block61.layer0.layer                     98,592 elem  @0x008c0167d
  block62.layer0.layer                     35,024 elem  @0x008c31909
  block63.layer0.layer                     30,880 elem  @0x008c42af5
  block64.layer0.layer                     30,880 elem  @0x008c51c81
  block65.layer0.layer                     30,880 elem  @0x008c60e0d
  block66.layer0.layer                     11,392 elem  @0x008c6ff99
  block67.layer0.layer                     10,336 elem  @0x008c758e5
  block68.layer0.layer                     10,336 elem  @0x008c7a9f1
  block69.layer0.layer                     10,336 elem  @0x008c7fafd
  block7.layer0.layer                      30,880 elem  @0x008c84c08
  block70.layer0.blend_scale                    1 elem  @0x008c93d9a
  block70.layer0.layer                     10,904 elem  @0x008c93de8
  block8.layer0.layer                      34,968 elem  @0x008c99363
  block9.layer0.layer                      98,592 elem  @0x008caa4de
